City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Port Moresby,PG,-9.4431,147.1797,75.2,94,90,9.22,heavy intensity rain
81,Tarko-Sale,RU,64.9225,77.785,-37.14,82,6,9.04,clear sky
82,East London,ZA,-33.0153,27.9116,72.66,62,16,2.62,few clouds
83,Ayni,TJ,39.3941,68.5377,28.35,55,0,8.41,clear sky
84,Ambunti,PG,-4.2365,142.8448,73.81,97,100,2.44,overcast clouds
85,Puerto Baquerizo Moreno,EC,-0.9,-89.6,82.4,78,75,10.36,light rain
86,Lagoa,PT,39.05,-27.9833,59.18,75,0,14.38,clear sky
87,Rikitea,PF,-23.1203,-134.9692,79.68,67,100,5.57,overcast clouds
88,Tezu,IN,27.9167,96.1667,59.59,33,6,3.65,clear sky
89,Waingapu,ID,-9.6567,120.2641,78.03,81,70,9.37,broken clouds
90,Temir,KZ,49.1414,57.13,23.4,95,100,13.0,overcast clouds
91,Ligatne,LV,57.2343,25.0406,28.0,96,100,1.99,light snow
92,Yangjiang,CN,21.85,111.9667,54.84,77,0,4.94,clear sky
93,Rovaniemi,FI,66.5,25.7167,10.4,85,90,13.8,light snow
94,Aklavik,CA,68.2191,-135.0107,-31.0,68,40,3.44,scattered clouds
95,Castro,BR,-24.7911,-50.0119,71.29,89,98,6.96,moderate rain
96,Tehachapi,US,35.1322,-118.449,41.0,81,91,5.99,overcast clouds
97,Huilong,CN,31.8111,121.655,41.0,74,0,10.87,clear sky
98,Airai,TL,-8.9266,125.4092,61.92,100,100,4.07,light rain
99,Ozinki,RU,51.1786,49.6769,24.31,98,82,6.22,broken clouds
100,Ust-Nera,RU,64.5667,143.2,-16.1,79,100,3.0,overcast clouds
101,Dauriya,RU,49.9333,116.8667,-31.72,81,4,1.57,clear sky
102,Sambava,MG,-14.2667,50.1667,77.67,85,100,2.55,light rain
103,Evensk,RU,61.95,159.2333,-5.12,83,100,12.59,overcast clouds
104,Uray,RU,60.1247,64.7758,-12.48,88,99,9.62,overcast clouds
105,Simoes,BR,-7.5989,-40.8178,83.35,53,100,7.49,heavy intensity rain
106,Brae,GB,60.3964,-1.353,33.8,75,26,11.5,scattered clouds
107,Ilulissat,GL,69.2167,-51.1,1.4,55,20,8.05,few clouds
108,Mahebourg,MU,-20.4081,57.7,80.6,78,75,9.22,light rain
109,Bathsheba,BB,13.2167,-59.5167,82.4,65,20,16.11,few clouds
110,Ahuimanu,US,21.4447,-157.8378,75.2,64,20,16.11,few clouds
111,Skjervoy,NO,70.0311,20.9714,14.0,62,20,19.57,few clouds
112,Cascais,PT,38.6979,-9.4215,57.0,100,100,11.99,overcast clouds
113,San Rafael,AR,-34.6177,-68.3301,84.42,22,91,8.99,light rain
114,Chase,CA,50.8165,-119.6857,33.01,80,98,1.14,overcast clouds
115,Saint-Philippe,RE,-21.3585,55.7679,78.8,69,0,5.75,clear sky
116,Ostrovnoy,RU,68.0531,39.5131,7.11,93,100,18.14,overcast clouds
117,Viedma,AR,-40.8135,-62.9967,73.0,34,89,20.54,overcast clouds
118,Vaini,TO,-21.2,-175.2,77.0,94,75,13.8,light rain
119,Srednekolymsk,RU,67.45,153.6833,-30.96,84,100,3.62,overcast clouds
120,Bafoulabe,ML,13.8065,-10.8321,83.71,13,100,2.62,overcast clouds
121,Saint George,US,37.1041,-113.5841,43.0,81,90,4.61,overcast clouds
122,Norman Wells,CA,65.282,-126.8329,-32.8,75,20,2.3,few clouds
123,Ilhabela,BR,-23.7781,-45.3581,83.89,66,100,4.52,overcast clouds
124,Jedrzejow,PL,50.6394,20.3045,30.0,65,100,3.0,overcast clouds
125,Cabo San Lucas,MX,22.8909,-109.9124,81.0,64,20,13.8,few clouds
126,Kysyl-Syr,RU,63.8986,122.7617,-47.78,75,100,3.0,overcast clouds
127,Sulangan,PH,11.1373,123.7228,79.27,81,100,28.36,overcast clouds
128,Lebu,CL,-37.6167,-73.65,58.91,94,97,2.75,overcast clouds
129,Comitancillo,GT,15.0833,-91.7167,73.4,28,0,34.52,clear sky
130,Pangai,TO,-19.8,-174.35,80.6,83,75,9.22,light rain
131,Ornskoldsvik,SE,63.2909,18.7153,1.4,92,33,5.75,scattered clouds
132,Kaitangata,NZ,-46.2817,169.8464,53.01,77,66,7.0,broken clouds
133,Nhulunbuy,AU,-12.2333,136.7667,80.6,89,40,6.91,scattered clouds
134,Limon,CR,10.0,-83.0333,82.4,65,75,2.3,broken clouds
135,Sao Joao Da Barra,BR,-21.6403,-41.0511,84.2,58,0,20.71,clear sky
136,Klaksvik,FO,62.2266,-6.589,32.0,69,75,3.44,broken clouds
137,Shetpe,KZ,44.1667,52.1167,30.6,96,30,4.36,scattered clouds
138,Eufaula,US,31.8913,-85.1455,57.99,30,1,4.61,clear sky
139,Mehamn,NO,71.0357,27.8492,17.6,79,0,6.91,light snow
140,Zambezi,ZM,-13.5432,23.1047,68.52,83,66,5.01,light rain
141,Chauk,MM,20.8833,94.8167,62.92,46,0,3.24,clear sky
142,Sao Filipe,CV,14.8961,-24.4956,75.13,63,84,9.6,broken clouds
143,Henties Bay,NA,-22.116,14.2845,66.99,82,8,3.74,clear sky
