City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
256,Luanda,AO,80.6,few clouds,-8.8368,13.2343,EPIC SANA Luanda
271,Kahului,US,75.2,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
274,Rio Cuarto,AR,77.0,few clouds,-33.1307,-64.3499,Hotel Menossi
280,Antofagasta,CL,75.0,few clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
281,Ranong,TH,75.2,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
284,Xaxim,BR,78.01,broken clouds,-26.9617,-52.5347,Hotel São Luiz
285,Breves,BR,83.03,overcast clouds,-1.6822,-50.4803,Hotel e Restaurante Grill
287,Yulara,AU,78.8,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
294,Belmonte,BR,84.2,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
296,Beloha,MG,78.44,broken clouds,-25.1667,45.05,
298,Caucaia,BR,82.4,clear sky,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
299,Xai-Xai,MZ,76.32,clear sky,-25.0519,33.6442,Complexo da Familia
303,Bengkulu,ID,75.58,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
306,Ler,SS,84.69,clear sky,8.3018,30.1418,
309,Salinopolis,BR,82.35,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
314,Kavieng,PG,82.76,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
315,Birao,CF,78.89,few clouds,10.2849,22.7882,
318,Chake Chake,TZ,79.43,clear sky,-5.2459,39.7666,Hotel Archipelago
325,Padang,ID,75.2,light rain,-0.9492,100.3543,Mercure Padang
326,Souillac,MU,80.6,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
328,Nazareno Etla,MX,77.0,scattered clouds,17.1783,-96.8239,Motel Geminis
332,Loandjili,CG,75.2,few clouds,-4.7561,11.8578,Résidence ARCHANGE
334,Camocim,BR,83.34,overcast clouds,-2.9022,-40.8411,Hotel Ilha do Amor
337,Grand Gaube,MU,81.0,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
339,Sibu,MY,75.2,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
340,Samarai,PG,81.75,overcast clouds,-10.6167,150.6667,Nuli Sapi
341,Cabedelo,BR,84.2,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
342,Poum,NC,79.18,clear sky,-20.2333,164.0167,Gîte kajeon
344,Cidreira,BR,80.35,overcast clouds,-30.1811,-50.2056,Hotel Castelo
345,Hambantota,LK,76.26,overcast clouds,6.1241,81.1185,Bungalow 63
353,Noumea,NC,79.0,few clouds,-22.2763,166.4572,Hôtel Le Lagon
359,Kintampo,GH,86.18,light rain,8.0563,-1.7306,Adomaa Memorial Hotel
362,Paita,PE,82.4,broken clouds,-5.0892,-81.1144,Hotel Náutico de Paita
363,Isangel,VU,75.2,few clouds,-19.55,169.2667,Volcano Sea View Tree House
366,Vilhena,BR,78.8,light rain,-12.7406,-60.1458,Hotel Mirage
367,Kailua,US,75.2,overcast clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
368,Manzanillo,CU,77.7,broken clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
370,Quelimane,MZ,82.4,broken clouds,-17.8786,36.8883,Hotel Flamingo
373,Honiara,SB,79.36,overcast clouds,-9.4333,159.95,Heritage Park Hotel
385,Tefe,BR,84.2,scattered clouds,-3.3542,-64.7114,Aracati Hotel
386,Vila Velha,BR,86.0,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
392,Alice Springs,AU,79.0,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
394,Pointe-Noire,CG,75.2,few clouds,-4.7761,11.8635,Kactus Lodge
395,Calama,CL,75.2,clear sky,-22.4667,-68.9333,Park Hotel Calama
397,Tamandare,BR,80.01,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
398,Batticaloa,LK,76.6,light rain,7.7102,81.6924,Grand Star Guest House
400,Kudahuvadhoo,MV,81.5,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
401,Rio Grande,BR,84.0,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
406,Koboko,UG,75.54,broken clouds,3.4136,30.9599,Blue Dove Hotel
407,Manggar,ID,78.71,moderate rain,-2.8833,108.2667,Guest Hotel
412,Coolum Beach,AU,77.0,few clouds,-26.5333,153.1,Palmer Coolum Resort
